Sparrow Food,1105.22
Hawk Food,3092.56
Dove Food,3215.45
Eagle Food,3602.75
Falcon Food,1643.56
Emu Food,2514.53
Ostrich Food,1243.48
Flamingo Food,2552.99
Peacock Food,1482.3
Swan Food,3895.03
Alligator Food,2375.68
Komodo Dragon Food,3076.53
Anaconda Food,2978.4
Cameleon Food,2456.9
Sea Turtle Food,2845.01
Frog Food,3631.15
Crocodile Food,1829.6
Lizard Food,1932.19
Iguana Food,2186.53
Viper Food,3193.65
Lion Food,2762.07
Zebra Food,2110.78
Giraffe Food,3386.46
Elephant Food,2504.31
Leopard Food,1975.3
Rhino Food,638.68
Cheetah Food,2355.16
Gorilla Food,725.94
Hippo Food,1599.89
Warthog Food,1354.76
Penguin Food,2782.86
Polar Bear Food,3563.04
Walrus Food,729.42
Seal Food,1209.82
Narwhal Food,2285.68
Wolf Food,1211.08
Moose Food,786.93
Ox Food,3016.76
Reindeer Food,993.86
Puffin Food,747.66
Bear Food,2544.64
Owl Food,3001.6
Badger Food,1718.88
Bat Food,2619.04
Deer Food,1659.82
Fox Food,2125.07
Rabbit Food,3807.36
Tiger Food,3072.22
Hedgehog Food,765.77
Coyote Food,1264.34
Ant Food,2732.75
Bee Food,2116.43
Butterfly Food,1421.75
Beetle Food,810.89
Grasshopper Food,865.2
Mantis Food,2330.0
Dragonfly Food,3981.01
Ladybug Food,2055.87
Fly Food,1619.28
Worm Food,3632.23
